Bill of Materials;;;;;;
Pt.;Part Name ;Description;Category;Quantity;Unit Price;Total Price
1;Nema 23;3Nm torque, 57x57x103mm;Electronics;2;€ 22,56;€ 45,12
2;;;;;;
